,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,N_covid,Neg Ctrl,,14.2763267837054,,ControlNegative,Negative,True
,A02,ROX,N_covid,Unkn,,8.97145169217783,,Unknown,NoCall,False
,A03,ROX,N_covid,Unkn,,134.448004941996,(+) Positive,Unknown,Positive,False
,A04,ROX,N_covid,Unkn,,97.704775308796,(+) Positive,Unknown,Positive,False
,A05,ROX,N_covid,Unkn,,261.146554438665,(+) Positive,Unknown,Positive,False
,A06,ROX,N_covid,Unkn,,141.390050980405,(+) Positive,Unknown,Positive,False
,A07,ROX,N_covid,Unkn,,2.61195641230497,,Unknown,NoCall,False
,A08,ROX,N_covid,Unkn,,152.871019991617,(+) Positive,Unknown,Positive,False
,A09,ROX,N_covid,Unkn,,316.797675228141,(+) Positive,Unknown,Positive,False
,A10,ROX,N_covid,Pos Ctrl,,285.208194453357,(+) Positive,ControlPositive,Positive,False
,A11,ROX,N_covid,Unkn,,188.534505233987,(+) Positive,Unknown,Positive,False
,A12,ROX,N_covid,Unkn,,288.229129493373,(+) Positive,Unknown,Positive,False
,B01,ROX,N_covid,Unkn,,100.250541169231,(+) Positive,Unknown,Positive,False
,B02,ROX,N_covid,Unkn,,310.689323521655,(+) Positive,Unknown,Positive,False
,B03,ROX,N_covid,Unkn,,42.606725214922,,Unknown,NoCall,False
,B04,ROX,N_covid,Unkn,,24.6788879129297,,Unknown,NoCall,False
,B05,ROX,N_covid,Unkn,,125.080014622204,(+) Positive,Unknown,Positive,False
,B06,ROX,N_covid,Unkn,,148.36761087764,(+) Positive,Unknown,Positive,False
,B07,ROX,N_covid,Unkn,,274.082819117461,(+) Positive,Unknown,Positive,False
,B08,ROX,N_covid,Unkn,,97.8185672198042,(+) Positive,Unknown,Positive,False
,B09,ROX,N_covid,Unkn,,11.0559056617121,,Unknown,NoCall,False
,B10,ROX,N_covid,Unkn,,131.676484600009,(+) Positive,Unknown,Positive,False
,B11,ROX,N_covid,Unkn,,283.366059821294,(+) Positive,Unknown,Positive,False
,B12,ROX,N_covid,Unkn,,300.349401386002,(+) Positive,Unknown,Positive,False
,C01,ROX,N_covid,Unkn,,150.0339652693,(+) Positive,Unknown,Positive,False
,C02,ROX,N_covid,Unkn,,317.080894934416,(+) Positive,Unknown,Positive,False
,C03,ROX,N_covid,Unkn,,103.233818131626,(+) Positive,Unknown,Positive,False
,C04,ROX,N_covid,Unkn,,267.798665673734,(+) Positive,Unknown,Positive,False
,C05,ROX,N_covid,Unkn,,36.2151240381771,,Unknown,NoCall,False
,C06,ROX,N_covid,Unkn,,116.779553633431,(+) Positive,Unknown,Positive,False
,C07,ROX,N_covid,Unkn,,38.6296133582982,,Unknown,NoCall,False
,C08,ROX,N_covid,Unkn,,357.197858866432,(+) Positive,Unknown,Positive,False
,C09,ROX,N_covid,Unkn,,171.470005099803,(+) Positive,Unknown,Positive,False
,C10,ROX,N_covid,Unkn,,92.1263603165578,(+) Positive,Unknown,Positive,False
,C11,ROX,N_covid,Unkn,,91.4901492263885,(+) Positive,Unknown,Positive,False
,C12,ROX,N_covid,Unkn,,18.7879537782337,,Unknown,NoCall,False
,D01,ROX,N_covid,Unkn,,41.80353119703,,Unknown,NoCall,False
,D02,ROX,N_covid,Unkn,,318.073611377527,(+) Positive,Unknown,Positive,False
,D03,ROX,N_covid,Unkn,,11.1330707869463,,Unknown,NoCall,False
,D04,ROX,N_covid,Unkn,,103.842996861153,(+) Positive,Unknown,Positive,False
,D05,ROX,N_covid,Unkn,,293.554342771506,(+) Positive,Unknown,Positive,False
,D06,ROX,N_covid,Unkn,,87.1896798239977,(+) Positive,Unknown,Positive,False
,D07,ROX,N_covid,Unkn,,17.7762841084004,,Unknown,NoCall,False
,D08,ROX,N_covid,Unkn,,94.2751496409619,(+) Positive,Unknown,Positive,False
,D09,ROX,N_covid,Unkn,,186.628485107969,(+) Positive,Unknown,Positive,False
,D10,ROX,N_covid,Unkn,,122.517898577254,(+) Positive,Unknown,Positive,False
,D11,ROX,N_covid,Unkn,,151.587185565156,(+) Positive,Unknown,Positive,False
,D12,ROX,N_covid,Unkn,,124.524221345986,(+) Positive,Unknown,Positive,False
,E01,ROX,N_covid,Unkn,,34.8445201174533,,Unknown,NoCall,False
,E02,ROX,N_covid,Unkn,,98.2811975855317,(+) Positive,Unknown,Positive,False
,E03,ROX,N_covid,Unkn,,14.2366450169329,,Unknown,NoCall,False
,E04,ROX,N_covid,Unkn,,336.925343657528,(+) Positive,Unknown,Positive,False
