,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,NaN,NaN,3.39695298558107,4.31459496756519,1.51836435717258,3.25985289801651,NaN,3.06029707506694,1.03085390661356,1.28272105935508,2.43152855388757,1.25674710516249
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,4.24576332493526,1.07483684233688,NaN,NaN,3.60545463864753,3.13476625579576,1.38658294544931,4.31145037388973,NaN,3.45529028741003,1.29975802409832,1.15502304583365
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,3.10751178756778,1.02860075397977,4.17005160757553,1.44849194455539,NaN,3.8182963725454,NaN,NaN,2.70996763442341,4.47846042579962,4.49840003783939,NaN
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,NaN,1.0216703476612,NaN,4.15434382925365,1.21066326090746,4.64011096814846,NaN,4.41306878243911,2.45981272093023,3.6679839535739,3.0815905956449,3.61887405776033
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,NaN,4.29869010249369,NaN,NaN,4.15955090134961,NaN,1.19656062944166,NaN,3.39797001365237,4.35199961323264,NaN,2.88513020065371
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,NaN,NaN,NaN,NaN,2.55056048953037,4.65374597303835,1.4520429564679,NaN,3.00997489073879,4.90905651004298,3.97619359371744,1.23768091566128
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,NaN,NaN,NaN,3.0576403055841,NaN,4.4626119731851,4.57322073360447,2.92886042577648,NaN,2.54141523191727,NaN,4.61317179891538
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,1.37432997121256,2.79465440387148,4.14776995539745,4.62843351183811,NaN,3.2297396266337,NaN,NaN,NaN,NaN,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
