,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,E_covid,Neg Ctrl,,,3.44144625893564,3.44144625893564,0,NaN,NaN,NaN,0,60,
,A02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A03,Cy5,E_covid,Unkn,,,2.66147465445981,2.66147465445981,0,NaN,NaN,NaN,0,60,
,A04,Cy5,E_covid,Unkn,,,1.35020838309898,1.35020838309898,0,NaN,NaN,NaN,0,60,
,A05,Cy5,E_covid,Unkn,,,2.90940279389636,2.90940279389636,0,NaN,NaN,NaN,0,60,
,A06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A07,Cy5,E_covid,Unkn,,,4.23555294706341,4.23555294706341,0,NaN,NaN,NaN,0,60,
,A08,Cy5,E_covid,Unkn,,,3.78856347962534,3.78856347962534,0,NaN,NaN,NaN,0,60,
,A09,Cy5,E_covid,Unkn,,,1.06550764101845,1.06550764101845,0,NaN,NaN,NaN,0,60,
,A10,Cy5,E_covid,Pos Ctrl,,,3.32330286779629,3.32330286779629,0,NaN,NaN,NaN,0,60,
,A11,Cy5,E_covid,Unkn,,,1.33716936284258,1.33716936284258,0,NaN,NaN,NaN,0,60,
,A12,Cy5,E_covid,Unkn,,,1.52196109938069,1.52196109938069,0,NaN,NaN,NaN,0,60,
,B01,Cy5,E_covid,Unkn,,,2.82208157864843,2.82208157864843,0,NaN,NaN,NaN,0,60,
,B02,Cy5,E_covid,Unkn,,,3.02986660025447,3.02986660025447,0,NaN,NaN,NaN,0,60,
,B03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B04,Cy5,E_covid,Unkn,,,3.1665223946497,3.1665223946497,0,NaN,NaN,NaN,0,60,
,B05,Cy5,E_covid,Unkn,,,4.56771624087544,4.56771624087544,0,NaN,NaN,NaN,0,60,
,B06,Cy5,E_covid,Unkn,,,1.5203772150838,1.5203772150838,0,NaN,NaN,NaN,0,60,
,B07,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B08,Cy5,E_covid,Unkn,,,4.66921174902331,4.66921174902331,0,NaN,NaN,NaN,0,60,
,B09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B11,Cy5,E_covid,Unkn,,,2.97757004116853,2.97757004116853,0,NaN,NaN,NaN,0,60,
,B12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,Cy5,E_covid,Unkn,,,2.45007170532131,2.45007170532131,0,NaN,NaN,NaN,0,60,
,C02,Cy5,E_covid,Unkn,,,2.81906304607069,2.81906304607069,0,NaN,NaN,NaN,0,60,
,C03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C04,Cy5,E_covid,Unkn,,,3.33626981032427,3.33626981032427,0,NaN,NaN,NaN,0,60,
,C05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C06,Cy5,E_covid,Unkn,,,4.4568829177717,4.4568829177717,0,NaN,NaN,NaN,0,60,
,C07,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C08,Cy5,E_covid,Unkn,,,3.44530423309041,3.44530423309041,0,NaN,NaN,NaN,0,60,
,C09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,Cy5,E_covid,Unkn,,,3.3980068322245,3.3980068322245,0,NaN,NaN,NaN,0,60,
,C11,Cy5,E_covid,Unkn,,,3.34320373185817,3.34320373185817,0,NaN,NaN,NaN,0,60,
