,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,E_covid,Neg Ctrl,,3.44144625893564,NaN
,A02,Cy5,E_covid,Unkn,,NaN,NaN
,A03,Cy5,E_covid,Unkn,,2.66147465445981,NaN
,A04,Cy5,E_covid,Unkn,,1.35020838309898,NaN
,A05,Cy5,E_covid,Unkn,,2.90940279389636,NaN
,A06,Cy5,E_covid,Unkn,,NaN,NaN
,A07,Cy5,E_covid,Unkn,,4.23555294706341,NaN
,A08,Cy5,E_covid,Unkn,,3.78856347962534,NaN
,A09,Cy5,E_covid,Unkn,,1.06550764101845,NaN
,A10,Cy5,E_covid,Pos Ctrl,,3.32330286779629,NaN
,A11,Cy5,E_covid,Unkn,,1.33716936284258,NaN
,A12,Cy5,E_covid,Unkn,,1.52196109938069,NaN
,B01,Cy5,E_covid,Unkn,,2.82208157864843,NaN
,B02,Cy5,E_covid,Unkn,,3.02986660025447,NaN
,B03,Cy5,E_covid,Unkn,,NaN,NaN
,B04,Cy5,E_covid,Unkn,,3.1665223946497,NaN
,B05,Cy5,E_covid,Unkn,,4.56771624087544,NaN
,B06,Cy5,E_covid,Unkn,,1.5203772150838,NaN
,B07,Cy5,E_covid,Unkn,,NaN,NaN
,B08,Cy5,E_covid,Unkn,,4.66921174902331,NaN
,B09,Cy5,E_covid,Unkn,,NaN,NaN
,B10,Cy5,E_covid,Unkn,,NaN,NaN
,B11,Cy5,E_covid,Unkn,,2.97757004116853,NaN
,B12,Cy5,E_covid,Unkn,,NaN,NaN
,C01,Cy5,E_covid,Unkn,,2.45007170532131,NaN
,C02,Cy5,E_covid,Unkn,,2.81906304607069,NaN
,C03,Cy5,E_covid,Unkn,,NaN,NaN
,C04,Cy5,E_covid,Unkn,,3.33626981032427,NaN
,C05,Cy5,E_covid,Unkn,,NaN,NaN
,C06,Cy5,E_covid,Unkn,,4.4568829177717,NaN
,C07,Cy5,E_covid,Unkn,,NaN,NaN
,C08,Cy5,E_covid,Unkn,,3.44530423309041,NaN
,C09,Cy5,E_covid,Unkn,,NaN,NaN
,C10,Cy5,E_covid,Unkn,,3.3980068322245,NaN
,C11,Cy5,E_covid,Unkn,,3.34320373185817,NaN
,C12,Cy5,E_covid,Unkn,,3.2366941806007,NaN
,D01,Cy5,E_covid,Unkn,,1.42797952898261,NaN
,D02,Cy5,E_covid,Unkn,,3.27549284993697,NaN
,D03,Cy5,E_covid,Unkn,,NaN,NaN
,D04,Cy5,E_covid,Unkn,,1.48237449782747,NaN
,D05,Cy5,E_covid,Unkn,,3.05677945443112,NaN
,D06,Cy5,E_covid,Unkn,,1.45981967860242,NaN
,D07,Cy5,E_covid,Unkn,,1.88713555594435,NaN
,D08,Cy5,E_covid,Unkn,,NaN,NaN
,D09,Cy5,E_covid,Unkn,,NaN,NaN
,D10,Cy5,E_covid,Unkn,,3.47300753892639,NaN
,D11,Cy5,E_covid,Unkn,,1.24094656102383,NaN
,D12,Cy5,E_covid,Unkn,,NaN,NaN
,E01,Cy5,E_covid,Unkn,,3.38367607169236,NaN
,E02,Cy5,E_covid,Unkn,,NaN,NaN
,E03,Cy5,E_covid,Unkn,,NaN,NaN
,E04,Cy5,E_covid,Unkn,,1.07036817900961,NaN
,E05,Cy5,E_covid,Unkn,,NaN,NaN
,E06,Cy5,E_covid,Unkn,,NaN,NaN
,E07,Cy5,E_covid,Unkn,,2.86978250240746,NaN
,E08,Cy5,E_covid,Unkn,,1.33724372338227,NaN
,E09,Cy5,E_covid,Unkn,,1.5734532886388,NaN
,E10,Cy5,E_covid,Unkn,,NaN,NaN
,E11,Cy5,E_covid,Unkn,,NaN,NaN
,E12,Cy5,E_covid,Unkn,,1.12695943595931,NaN
,F01,Cy5,E_covid,Unkn,,1.39834405456709,NaN
,F02,Cy5,E_covid,Unkn,,NaN,NaN
,F03,Cy5,E_covid,Unkn,,4.27579178299753,NaN
,F04,Cy5,E_covid,Unkn,,NaN,NaN
,F05,Cy5,E_covid,Unkn,,1.29598205289959,NaN
,F06,Cy5,E_covid,Unkn,,3.16361187308704,NaN
,F07,Cy5,E_covid,Unkn,,1.18692067063709,NaN
,F08,Cy5,E_covid,Unkn,,3.01658752682204,NaN
,F09,Cy5,E_covid,Unkn,,NaN,NaN
,F10,Cy5,E_covid,Unkn,,3.06477294996964,NaN
,F11,Cy5,E_covid,Unkn,,4.94182307125618,NaN
,F12,Cy5,E_covid,Unkn,,NaN,NaN
,G01,Cy5,E_covid,Unkn,,1.23038109708594,NaN
,G02,Cy5,E_covid,Unkn,,2.639277189091,NaN
,G03,Cy5,E_covid,Unkn,,NaN,NaN
,G04,Cy5,E_covid,Unkn,,1.20546194487801,NaN
,G05,Cy5,E_covid,Unkn,,NaN,NaN
,G06,Cy5,E_covid,Unkn,,1.38889380964459,NaN
,G07,Cy5,E_covid,Unkn,,4.66679015515806,NaN
,G08,Cy5,E_covid,Unkn,,NaN,NaN
