,Well,Sample,Call,Type,RFU1,RFU2
,A01,,Undetermined,Auto,236.151301613253,63.2678978450504
,A02,,Allele 1,Auto,206.717714161545,32.4977378052299
,A03,,Heterozygote,Auto,46.7922746225504,38.3206528549599
,A04,,Heterozygote,Auto,82.6521851992929,57.9715744997584
,A05,,Heterozygote,Auto,43.6324921295663,43.9000809198678
,A06,,Allele 2,Auto,46.1317434431821,246.113977568026
,A07,,Allele 2,Auto,37.4038187315618,224.228829812371
,A08,,Heterozygote,Auto,74.2613952539168,47.2668352925775
,A09,,Heterozygote,Auto,74.6445036696487,32.6766440246092
,A10,,Allele 2,Auto,42.770729644044,205.289804910057
,A11,,Heterozygote,Auto,51.5994082601619,46.930825145243
,A12,,Heterozygote,Auto,239.834991108868,185.572445981342
,B01,,Heterozygote,Auto,37.0694257958912,51.2148634512478
,B02,,Heterozygote,Auto,51.9702183878226,42.482999832785
,B03,,Heterozygote,Auto,41.4200282692318,38.3107395036504
,B04,,Heterozygote,Auto,220.205124757962,170.691213903288
,B05,,Undetermined,Auto,77.2021418758795,200.620033902505
,B06,,Allele 1,Auto,232.91980313086,40.9013155531056
,B07,,Heterozygote,Auto,63.0701408921041,74.559368092333
,B08,,Allele 1,Auto,205.801141442444,38.1405722317286
,B09,,Allele 2,Auto,42.3206050363597,179.536489769025
,B10,,Allele 2,Auto,47.2256291514686,224.782944480055
,B11,,Allele 2,Auto,69.7940105766811,194.541838633923
,B12,,Heterozygote,Auto,79.1301987948846,66.6258876885277
,C01,,Heterozygote,Auto,64.7477989317258,43.9657628304658
,C02,,Heterozygote,Auto,44.5504808030055,41.9299884108923
,C03,,Heterozygote,Auto,69.8915737068637,76.9286856443714
,C04,,Heterozygote,Auto,36.7078773627663,71.5364682902818
,C05,,Heterozygote,Auto,46.3639308311203,37.8514632260158
,C06,,Heterozygote,Auto,40.9718782692426,39.3629023230424
,C07,,Allele 1,Auto,219.81520827501,31.4971553257265
,C08,,Heterozygote,Auto,48.4115682733091,37.1683369431858
,C09,,Heterozygote,Auto,70.0621847645498,38.3805901070928
,C10,,Allele 2,Auto,82.9438075626595,229.643430821874
,C11,,Heterozygote,Auto,48.0827420900205,43.5053457480462
,C12,,Allele 2,Auto,42.0538131576777,240.308107440581
,D01,,Heterozygote,Auto,227.929195120141,223.187241619803
,D02,,Heterozygote,Auto,45.3434246847955,59.8765357343709
,D03,,Heterozygote,Auto,41.5324853795782,69.8015990778331
,D04,,Heterozygote,Auto,40.8754159024538,74.2664056448166
,D05,,Undetermined,Auto,75.5620030648661,186.960290005619
,D06,,Heterozygote,Auto,50.570738448966,31.992185689106
,D07,,Allele 1,Auto,211.638767620329,38.4136412421649
,D08,,Heterozygote,Auto,44.8537075923987,67.3923189289935
,D09,,Heterozygote,Auto,72.8816095485572,40.7309514008375
,D10,,Allele 2,Auto,49.002128011809,212.693710836325
,D11,,Heterozygote,Auto,47.946816323868,35.7552709079519
,D12,,Heterozygote,Auto,35.8526838430907,44.3746420570478
,E01,,Allele 1,Auto,247.871732219627,29.5019859144377
,E02,,Heterozygote,Auto,38.4183515492878,33.6816468530342
,E03,,Heterozygote,Auto,245.423813552748,170.979825522543
,E04,,Heterozygote,Auto,189.857796818915,176.43896022142
,E05,,Heterozygote,Auto,189.590358042798,214.531182259429
,E06,,Heterozygote,Auto,43.0796985726147,41.4575916888734
,E07,,Allele 2,Auto,39.495878173665,241.4634892148
,E08,,Allele 1,Auto,198.324939124894,40.1949813784777
,E09,,Heterozygote,Auto,47.6882216336162,63.8728494436646
,E10,,Heterozygote,Auto,42.7093739071197,39.96834590453
,E11,,Heterozygote,Auto,37.7918890265564,46.3301222957452
,E12,,Heterozygote,Auto,45.9618295115615,71.0223528255619
,F01,,Heterozygote,Auto,37.9226634485867,67.9515421644073
,F02,,Heterozygote,Auto,79.0917852117682,33.6480409919168
,F03,,Heterozygote,Auto,231.96876786109,240.357794387305
,F04,,Heterozygote,Auto,52.8335595710432,43.992925805921
,F05,,Allele 2,Auto,69.8983826513686,202.985611498751
,F06,,Allele 2,Auto,45.3539482882334,192.759201000113
,F07,,Heterozygote,Auto,40.6056994159107,35.0556434566361
,F08,,Heterozygote,Auto,51.0896726226756,76.1032595958923
,F09,,Allele 1,Auto,197.220735182021,30.7521201083882
,F10,,Heterozygote,Auto,64.0930732483457,40.6920163810028
,F11,,Heterozygote,Auto,73.6791045123828,35.8186215139249
,F12,,Allele 1,Auto,188.226260479078,44.4248843952728
,G01,,Heterozygote,Auto,49.1033778640012,48.4462033926156
,G02,,Heterozygote,Auto,48.6159953584556,39.679914260988
,G03,,Allele 1,Auto,238.75389701845,35.9285210650733
,G04,,Heterozygote,Auto,46.4096749125774,51.4591964391411
,G05,,Heterozygote,Auto,75.2122973816695,46.5640369806997
,G06,,Heterozygote,Auto,46.5193243598087,62.1208274317005
,G07,,Heterozygote,Auto,40.0318408215089,46.6513803505595
,G08,,Heterozygote,Auto,46.3188317828035,43.0254754332518
,G09,,Heterozygote,Auto,40.6354081725376,60.0718515307208
,G10,,Heterozygote,Auto,85.0749215868436,48.2814118045599
,G11,,Heterozygote,Auto,44.0014099986674,83.6229387046278
,G12,,Allele 2,Auto,64.2560404588376,188.942175822003
,H01,,Heterozygote,Auto,44.3077368139466,37.4971007300737
,H02,,Heterozygote,Auto,221.667476746878,175.574351327096
,H03,,Heterozygote,Auto,37.3059448128888,49.1144050023031
,H04,,Heterozygote,Auto,37.4290179705904,43.927291721222
,H05,,Heterozygote,Auto,69.8315542671698,32.7231794571262
,H06,,Heterozygote,Auto,45.4677712827042,44.6688463470828
,H07,,Heterozygote,Auto,42.3155349688495,38.2194440153726
,H08,,Heterozygote,Auto,75.2026263322286,71.92709540331
,H09,,Heterozygote,Auto,64.6523476716229,35.2420959427136
,H10,,Heterozygote,Auto,38.616996184237,58.2485487667063
,H11,,Allele 1,Auto,184.725847151966,39.302631922179
,H12,,Allele 2,Auto,61.1954627925525,212.302815308318
