,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,Cy5,E_covid,Neg Ctrl,,47.2511476632855,,ControlNegative,Negative,True
,A02,Cy5,E_covid,Unkn,,131.161460073462,(+) Positive,Unknown,Positive,False
,A03,Cy5,E_covid,Unkn,,46.7135153333229,,Unknown,NoCall,False
,A04,Cy5,E_covid,Unkn,,26.6714783091027,,Unknown,NoCall,False
,A05,Cy5,E_covid,Unkn,,43.3927028842611,,Unknown,NoCall,False
,A06,Cy5,E_covid,Unkn,,60.981434233893,(+) Positive,Unknown,Positive,False
,A07,Cy5,E_covid,Unkn,,47.0684875990357,,Unknown,NoCall,False
,A08,Cy5,E_covid,Unkn,,113.357114064989,(+) Positive,Unknown,Positive,False
,A09,Cy5,E_covid,Unkn,,35.5673333598828,,Unknown,NoCall,False
,A10,Cy5,E_covid,Pos Ctrl,,24.8327449403325,,ControlPositive,NoCall,False
,A11,Cy5,E_covid,Unkn,,42.8578049509095,,Unknown,NoCall,False
,A12,Cy5,E_covid,Unkn,,40.6226685814794,,Unknown,NoCall,False
,B01,Cy5,E_covid,Unkn,,46.586931932496,,Unknown,NoCall,False
,B02,Cy5,E_covid,Unkn,,36.3505475198117,,Unknown,NoCall,False
,B03,Cy5,E_covid,Unkn,,142.002108066722,(+) Positive,Unknown,Positive,False
,B04,Cy5,E_covid,Unkn,,31.0918853285486,,Unknown,NoCall,False
,B05,Cy5,E_covid,Unkn,,26.5096336211187,,Unknown,NoCall,False
,B06,Cy5,E_covid,Unkn,,117.726952774054,(+) Positive,Unknown,Positive,False
,B07,Cy5,E_covid,Unkn,,24.2966907941869,,Unknown,NoCall,False
,B08,Cy5,E_covid,Unkn,,39.3202415871541,,Unknown,NoCall,False
,B09,Cy5,E_covid,Unkn,,136.995662708371,(+) Positive,Unknown,Positive,False
,B10,Cy5,E_covid,Unkn,,35.2291686258997,,Unknown,NoCall,False
,B11,Cy5,E_covid,Unkn,,121.391513875779,(+) Positive,Unknown,Positive,False
,B12,Cy5,E_covid,Unkn,,39.4502221511817,,Unknown,NoCall,False
,C01,Cy5,E_covid,Unkn,,42.6209158837948,,Unknown,NoCall,False
,C02,Cy5,E_covid,Unkn,,61.5390927782606,(+) Positive,Unknown,Positive,False
,C03,Cy5,E_covid,Unkn,,33.4284578204921,,Unknown,NoCall,False
,C04,Cy5,E_covid,Unkn,,27.7989778089026,,Unknown,NoCall,False
