,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,3.99693102529295,1.07810198259041,4.02517673238992,NaN,4.20879811702966,3.23611362360533,4.00710624110107,1.45967416964806,4.7764450729474,NaN,4.24104808346839,4.38483314526487
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,4.03166114744022,4.70925225848689,NaN,NaN,NaN,1.35535924614862,NaN,4.47624933513496,NaN,4.80644873237301,1.27291551690528,4.4667480013282
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,4.25501401799375,3.21222299971268,4.97764228908041,NaN,NaN,NaN,3.27164604799842,1.67098998397415,4.56823226387032,4.57712895295212,NaN,NaN
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,NaN,1.23788194690892,1.13382895130525,NaN,1.18631835132017,NaN,3.94365188068036,4.00215148240464,NaN,4.57612784367876,4.71782449205691,NaN
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,NaN,1.34984459476467,1.06032838168397,4.79594262413977,3.41533312419027,NaN,NaN,NaN,NaN,NaN,4.33626650757643,1.26340820322932
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,NaN,4.9667821970781,1.60305577580112,NaN,NaN,NaN,1.43648595965214,4.18985344188388,1.25481221223852,1.039550473464,1.68229438932484,4.53222576167866
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,3.82534463958051,4.73289668075769,NaN,4.13712900178004,NaN,4.69069547159637,NaN,3.32920294345833,1.27453927021456,NaN,4.39665604689426,4.18561530249885
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,NaN,3.74455923249132,NaN,4.34106259331438,NaN,NaN,3.58672402400929,NaN,NaN,3.79335778056872,NaN,3.62504075763667
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
