,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,ORF1ab_covid,Neg Ctrl,,67.1655812924066,,ControlNegative,Negative,True
,A02,FAM,ORF1ab_covid,Unkn,,111.177793175792,,Unknown,NoCall,False
,A03,FAM,ORF1ab_covid,Unkn,,61.9183986361983,,Unknown,NoCall,False
,A04,FAM,ORF1ab_covid,Unkn,,201.07011760866,(+) Positive,Unknown,Positive,False
,A05,FAM,ORF1ab_covid,Unkn,,56.91010542843,,Unknown,NoCall,False
,A06,FAM,ORF1ab_covid,Unkn,,60.5241964577674,,Unknown,NoCall,False
,A07,FAM,ORF1ab_covid,Unkn,,189.427467224349,(+) Positive,Unknown,Positive,False
,A08,FAM,ORF1ab_covid,Unkn,,64.5156557008908,,Unknown,NoCall,False
,A09,FAM,ORF1ab_covid,Unkn,,426.058343746207,(+) Positive,Unknown,Positive,False
,A10,FAM,ORF1ab_covid,Pos Ctrl,,120.973268628926,(+) Positive,ControlPositive,Positive,False
,A11,FAM,ORF1ab_covid,Unkn,,500.215896703445,(+) Positive,Unknown,Positive,False
,A12,FAM,ORF1ab_covid,Unkn,,201.683046680158,(+) Positive,Unknown,Positive,False
,B01,FAM,ORF1ab_covid,Unkn,,117.186195388713,(+) Positive,Unknown,Positive,False
,B02,FAM,ORF1ab_covid,Unkn,,53.320157350658,,Unknown,NoCall,False
,B03,FAM,ORF1ab_covid,Unkn,,221.095914460703,(+) Positive,Unknown,Positive,False
,B04,FAM,ORF1ab_covid,Unkn,,69.5964603130642,,Unknown,NoCall,False
,B05,FAM,ORF1ab_covid,Unkn,,143.892260111435,(+) Positive,Unknown,Positive,False
,B06,FAM,ORF1ab_covid,Unkn,,71.7194213673731,,Unknown,NoCall,False
,B07,FAM,ORF1ab_covid,Unkn,,200.50232729109,(+) Positive,Unknown,Positive,False
,B08,FAM,ORF1ab_covid,Unkn,,50.5211891719025,,Unknown,NoCall,False
,B09,FAM,ORF1ab_covid,Unkn,,65.4567611675837,,Unknown,NoCall,False
,B10,FAM,ORF1ab_covid,Unkn,,218.214878281039,(+) Positive,Unknown,Positive,False
,B11,FAM,ORF1ab_covid,Unkn,,198.033424193879,(+) Positive,Unknown,Positive,False
,B12,FAM,ORF1ab_covid,Unkn,,262.035381657143,(+) Positive,Unknown,Positive,False
,C01,FAM,ORF1ab_covid,Unkn,,55.8149353149958,,Unknown,NoCall,False
,C02,FAM,ORF1ab_covid,Unkn,,54.4885232886532,,Unknown,NoCall,False
,C03,FAM,ORF1ab_covid,Unkn,,57.5616094893814,,Unknown,NoCall,False
,C04,FAM,ORF1ab_covid,Unkn,,58.3601669688223,,Unknown,NoCall,False
,C05,FAM,ORF1ab_covid,Unkn,,54.7443145242614,,Unknown,NoCall,False
,C06,FAM,ORF1ab_covid,Unkn,,522.469492484811,(+) Positive,Unknown,Positive,False
,C07,FAM,ORF1ab_covid,Unkn,,54.0506251207769,,Unknown,NoCall,False
,C08,FAM,ORF1ab_covid,Unkn,,121.523102527479,(+) Positive,Unknown,Positive,False
,C09,FAM,ORF1ab_covid,Unkn,,111.084821993276,,Unknown,NoCall,False
,C10,FAM,ORF1ab_covid,Unkn,,52.3795885007741,,Unknown,NoCall,False
,C11,FAM,ORF1ab_covid,Unkn,,68.5296116681009,,Unknown,NoCall,False
,C12,FAM,ORF1ab_covid,Unkn,,130.683183126286,(+) Positive,Unknown,Positive,False
